Fiscal Year,Total Noninterest Spending
2015,19.2
2016,19.5
2017,19.0
2018,18.6
2019,18.8
2020,18.8
2021,18.9
2022,19.2
2023,19.0
2024,18.8
2025,19.2
2026,19.4
2027,19.5
2028,19.7
2029,19.9
2030,20.0
2031,20.2
2032,20.3
2033,20.4
2034,20.6
2035,20.7
2036,20.8
2037,20.8
2038,20.9
2039,21.0
2040,21.1
2041,21.1
2042,21.1
2043,21.2
2044,21.2
2045,21.3
2046,21.4
2047,21.4
2048,21.5
2049,21.5
2050,21.6
2051,21.7
2052,21.7
2053,21.8
2054,21.9
2055,22.0
2056,22.1
2057,22.2
2058,22.3
2059,22.4
2060,22.5
2061,22.6
2062,22.7
2063,22.8
2064,22.9
2065,23.0
2066,23.1
2067,23.2
2068,23.3
2069,23.4
2070,23.5
2071,23.7
2072,23.8
2073,23.9
2074,24.0
2075,24.1
2076,24.2
2077,24.3
2078,24.5
2079,24.5
2080,24.7
2081,24.8
2082,24.9
2083,25.0
2084,25.1
2085,25.2
2086,25.3
2087,25.4
2088,25.5
2089,25.6
2090,25.7
