Fiscal Year, Social Security
2015,4.9
2016,4.9
2017,4.9
2018,5.0
2019,5.1
2020,5.2
2021,5.3
2022,5.4
2023,5.5
2024,5.6
2025,5.7
2026,5.8
2027,5.9
2028,5.9
2029,6.0
2030,6.1
2031,6.1
2032,6.2
2033,6.2
2034,6.2
2035,6.3
2036,6.3
2037,6.3
2038,6.2
2039,6.2
2040,6.2
2041,6.1
2042,6.1
2043,6.1
2044,6.0
2045,6.0
2046,6.0
2047,6.0
2048,6.0
2049,5.9
2050,5.9
2051,5.9
2052,5.9
2053,5.9
2054,5.9
2055,5.9
2056,6.0
2057,6.0
2058,6.0
2059,6.0
2060,6.1
2061,6.1
2062,6.1
2063,6.1
2064,6.1
2065,6.1
2066,6.1
2067,6.2
2068,6.2
2069,6.2
2070,6.2
2071,6.2
2072,6.2
2073,6.3
2074,6.3
2075,6.3
2076,6.3
2077,6.3
2078,6.3
2079,6.3
2080,6.3
2081,6.3
2082,6.3
2083,6.3
2084,6.4
2085,6.4
2086,6.4
2087,6.4
2088,6.4
2089,6.5
2090,6.5
