Fiscal Year,Nominal Revenues
2015,0
2016,3375.8108
2017,3517.1082
2018,3612.3188
2019,3726.5662
2020,3885.4644
2021,4002.637
2022,4140.957
2023,4290.5889
2024,4455.6284
2025,4631.2798
2026,4809.0698
2027,4971.2476
2028,5185.3701
2029,5385.5898
2030,5574.1221
2031,5808.6172
2032,5989.3589
2033,6251.3545
2034,6482.6865
2035,6708.7637
2036,6988.6323
2037,7262.7256
2038,7518.5742
2039,7812.9746
2040,8059.7383
2041,8389.4346
2042,8721.3867
2043,9007.2637
2044,9387.8066
2045,9666.0313
2046,10089.564
2047,10458.531
2048,10846.012
2049,11219.498
2050,11707.378
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
2061,
2062,
2063,
2064,
2065,
2066,
2067,
2068,
2069,
2070,
2071,
2072,
2073,
2074,
2075,
2076,
2077,
2078,
2079,
2080,
2081,
2082,
2083,
2084,
2085,
2086,
2087,
2088,
2089,
2090,
